Name,Manufacturer,Caliber,Projectile Weight,Projectile Weight Unit,Initial Velocity,Velocity Unit,Ballistic Coefficient
Aguila Lead Hollow Point,Aguila,.22 LR,30,grains,"1,750",fps,N/A
Aguila Solid,Aguila,.22 LR,30,grains,"1,750",fps,N/A
Winchester Tin Round Nose,Winchester,.22 LR,30,grains,"1,650",fps,N/A
Federal Copper Plated,Federal,.22 LR,31,grains,"1,430",fps,N/A
CCI Copper Plated Hollow Point,CCI,.22 LR,32,grains,"1,640",fps,N/A
CCI Segmented Hollow Point,CCI,.22 LR,32,grains,"1,640",fps,N/A
Remington Yellow Jacket Hollow Point,Remington,.22 LR,33,grains,"1,500",fps,N/A
CCI Copper Plated Hollow Point,CCI,.22 LR,36,grains,"1,260",fps,N/A
Federal Copper Plated Hollow Point,Federal,.22 LR,36,grains,"1,260",fps,N/A
Remington Viper Solid,Remington,.22 LR,36,grains,"1,410",fps,N/A
Sellier & Bellot Copper Plated Round Nose,Sellier & Bellot,.22 LR,36,grains,"1,328",fps,N/A
Winchester X-Pert Hollow Point,Winchester,.22 LR,36,grains,"1,220",fps,N/A
Winchester Lubaloy Plated Hollow Point,Winchester,.22 LR,36,grains,"1,280",fps,N/A
Winchester Lead Hollow Point,Winchester,.22 LR,37,grains,"1,280",fps,N/A
Winchester Super SP Hollow Point,Winchester,.22 LR,37,grains,"1,330",fps,N/A
Aguila Lead Hollow Point,Aguila,.22 LR,38,grains,"1,025",fps,N/A
Federal Copper Plated Hollow Point,Federal,.22 LR,38,grains,"1,260",fps,N/A
Fiocchi Copper Plated,Fiocchi,.22 LR,38,grains,"1,280",fps,N/A
PMC Solid,PMC,.22 LR,38,grains,"1,000",fps,N/A
Remington Lead Hollow Point,Remington,.22 LR,38,grains,"1,050",fps,N/A
Sellier & Bellot Lead Hollow Point,Sellier & Bellot,.22 LR,38,grains,"1,279",fps,N/A
CCI Lead Round Nose,CCI,.22 LR,40,grains,"1,200",fps,N/A
CCI Copper Plated Hollow Point,CCI,.22 LR,40,grains,"1,435",fps,N/A
CCI Copper Plated Round Nose,CCI,.22 LR,40,grains,"1,235",fps,N/A
CCI Lead Flat Nose,CCI,.22 LR,40,grains,"1,235",fps,N/A
CCI Lead Hollow Point,CCI,.22 LR,40,grains,"1,050",fps,N/A
CCI Segmented Hollow Point,CCI,.22 LR,40,grains,"1,050",fps,N/A
Eley Lead Flat Nose,Eley,.22 LR,40,grains,"1,085",fps,N/A
Eley Lead Round Nose,Eley,.22 LR,40,grains,"1,085",fps,N/A
Eley Lead Hollow Point,Eley,.22 LR,40,grains,"1,065",fps,N/A
Federal Lead Round Nose,Federal,.22 LR,40,grains,"1,080",fps,N/A
Federal Copper Plated Round Nose,Federal,.22 LR,40,grains,"1,240",fps,N/A
Fiocchi Copper Plated,Fiocchi,.22 LR,40,grains,"1,255",fps,N/A
Fiocchi Long Round Nose,Fiocchi,.22 LR,40,grains,"1,250",fps,N/A
Lapua X-Act,Lapua,.22 LR,40,grains,"1,073",fps,N/A
Lapua Midas+,Lapua,.22 LR,40,grains,"1,073",fps,N/A
Lapua Center-X,Lapua,.22 LR,40,grains,"1,073",fps,N/A
Lapua Pistol King,Lapua,.22 LR,40,grains,958,fps,N/A
Lapua Pistol OSP,Lapua,.22 LR,40,grains,909,fps,N/A
Lapua Polar Biathlon,Lapua,.22 LR,40,grains,"1,073",fps,N/A
Norma Lead Round Nose,Norma,.22 LR,40,grains,"1,066",fps,N/A
RWS Lead Hollow Point,RWS,.22 LR,40,grains,"1,310",fps,N/A
Sellier & Bellot Lead Round Nose,Sellier & Bellot,.22 LR,40,grains,"1,089",fps,N/A
Sellier & Bellot Lead Hollow Point,Sellier & Bellot,.22 LR,40,grains,"1,089",fps,N/A
Winchester Dynapoint,Winchester,.22 LR,40,grains,"1,150",fps,N/A
Winchester Wildcat Round Nose,Winchester,.22 LR,40,grains,"1,255",fps,N/A
Winchester Copper Plated,Winchester,.22 LR,40,grains,"1,255",fps,N/A
Winchester Power-Point Hollow Point,Winchester,.22 LR,40,grains,"1,280",fps,N/A
Winchester Lead Round Nose,Winchester,.22 LR,40,grains,"1,300",fps,N/A
Winchester Lead Hollow Point,Winchester,.22 LR,40,grains,"1,065",fps,N/A
Aguila Solid,Aguila,.22 LR,60,grains,950,fps,N/A
Rifle Match,SK,.22 LR,2.59,g,327,m/s,0.172
Pistol Match,SK,.22 LR,2.59,g,281,m/s,0.172
Pistol Match Special,SK,.22 LR,2.59,g,286,m/s,0.172
Standard Plus,SK,.22 LR,2.59,g,327,m/s,0.172
Magazine,SK,.22 LR,2.59,g,327,m/s,0.172
Biathlon Sport,SK,.22 LR,2.59,g,321,m/s,0.172
Semi-Auto Rifle,SK,.22 LR,2.59,g,345,m/s,0.172
Long Range Match,SK,.22 LR,2.59,g,335,m/s,0.172
High Velocity Match,SK,.22 LR,2.59,g,385,m/s,0.172
RWS Rifle Match S,RWS,.22 LR,2.6,g,345,m/s,N/A
RWS Rifle Match,RWS,.22 LR,2.6,g,330,m/s,N/A
RWS Pistol Match SR,RWS,.22 LR,2.6,g,260,m/s,N/A
RWS Rifle Match ,RWS,.22 LR,2.6,g,275,m/s,N/A
RWS Target Rifle,RWS,.22 LR,2.6,g,330,m/s,N/A
RWS Target Pistol,RWS,.22 LR,2.6,g,285,m/s,N/A
RWS Club,RWS,.22 LR,2.6,g,330,m/s,N/A
