epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.85861,1.64336,2.00153,0.86389,0.03263,0.979,0.94343,0.46981,1.70299,2.53105,0.75331,0.000656085,0.000656085,0.000656085
2,15.9626,1.14807,0.91127,0.80141,0.96425,0.951,0.97064,0.62822,1.29576,0.83868,0.74864,0.0011918,0.0011918,0.0011918
3,22.7836,1.027,0.75435,0.79642,0.99266,0.967,0.9833,0.76405,0.88276,0.5107,0.72988,0.00159551,0.00159551,0.00159551
4,29.6514,0.89231,0.63367,0.79603,0.99386,0.97087,0.98404,0.79118,0.82816,0.47604,0.72657,0.001406,0.001406,0.001406
5,36.4356,0.79111,0.54782,0.79007,0.99251,0.977,0.99159,0.81921,0.77369,0.47776,0.72074,0.001208,0.001208,0.001208
6,43.1552,0.672,0.47468,0.78564,0.99693,0.97428,0.9925,0.853,0.67918,0.45224,0.72632,0.00101,0.00101,0.00101
7,50.025,0.63717,0.43607,0.78265,0.99592,0.97688,0.98512,0.92228,0.45427,0.33434,0.71915,0.000812,0.000812,0.000812
8,56.9154,0.5677,0.39977,0.78391,0.99424,0.98,0.98517,0.93356,0.43204,0.32463,0.7241,0.000614,0.000614,0.000614
9,63.8954,0.51541,0.37334,0.78259,0.99796,0.98008,0.98527,0.93633,0.43169,0.31459,0.72312,0.000416,0.000416,0.000416
10,70.6728,0.4908,0.35697,0.77944,0.99594,0.98073,0.98529,0.93817,0.39112,0.31187,0.7247,0.000218,0.000218,0.000218
