epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3689,2.4853,2.98277,0.94341,0.02523,0.75776,0.02605,0.00823,2.65702,3.42406,0.90402,0.000656085,0.000656085,0.000656085
2,20.9739,1.93365,1.40019,0.83032,0.87452,0.86587,0.9072,0.43306,1.74763,1.21484,0.78828,0.00130966,0.00130966,0.00130966
3,29.0258,1.92561,1.18925,0.83672,0.8782,0.84444,0.91153,0.43302,1.79962,0.80687,0.78685,0.00195003,0.00195003,0.00195003
4,36.6384,1.78959,0.97296,0.82711,0.9307,0.91418,0.95031,0.60558,1.2552,0.62569,0.76484,0.0019406,0.0019406,0.0019406
5,44.1698,1.61827,0.82089,0.81942,0.93996,0.90894,0.95808,0.54826,1.48721,0.59685,0.77637,0.0019208,0.0019208,0.0019208
6,51.7172,1.59435,0.75647,0.81749,0.95504,0.89305,0.94095,0.41073,1.88841,0.72225,0.79714,0.001901,0.001901,0.001901
7,59.2547,1.55493,0.70823,0.81901,0.95734,0.89854,0.96331,0.60314,1.41272,0.53262,0.77571,0.0018812,0.0018812,0.0018812
8,66.8043,1.47304,0.66447,0.81087,0.94034,0.91511,0.95952,0.55612,1.43679,0.62012,0.7759,0.0018614,0.0018614,0.0018614
9,74.3699,1.47284,0.63725,0.81111,0.95708,0.91523,0.96379,0.60588,1.30864,0.57261,0.76918,0.0018416,0.0018416,0.0018416
10,81.9391,1.4385,0.61689,0.81131,0.966,0.91692,0.96699,0.63112,1.35046,0.52463,0.7691,0.0018218,0.0018218,0.0018218
11,89.5109,1.44148,0.61129,0.81356,0.96552,0.9009,0.96544,0.63165,1.28217,0.51739,0.76861,0.001802,0.001802,0.001802
12,97.0414,1.4129,0.59581,0.80921,0.95764,0.91291,0.96536,0.58691,1.42732,0.55849,0.77372,0.0017822,0.0017822,0.0017822
13,104.523,1.46098,0.60593,0.80851,0.97707,0.92192,0.96812,0.73768,0.9808,0.45424,0.75714,0.0017624,0.0017624,0.0017624
14,112.122,1.393,0.57908,0.80909,0.97136,0.91692,0.96792,0.67218,1.16551,0.50537,0.76579,0.0017426,0.0017426,0.0017426
15,119.674,1.28816,0.55919,0.80312,0.98374,0.92593,0.97377,0.65108,1.2165,0.55355,0.76815,0.0017228,0.0017228,0.0017228
16,127.186,1.25024,0.53698,0.80196,0.97839,0.92793,0.971,0.69575,1.08981,0.4868,0.76093,0.001703,0.001703,0.001703
17,134.737,1.31049,0.54598,0.8028,0.9695,0.91892,0.96911,0.63101,1.29655,0.53437,0.77333,0.0016832,0.0016832,0.0016832
18,142.293,1.28526,0.53772,0.80565,0.98018,0.93493,0.97223,0.72977,1.02054,0.45799,0.76408,0.0016634,0.0016634,0.0016634
19,149.814,1.1448,0.50901,0.80053,0.97094,0.93794,0.97991,0.81382,0.79131,0.39781,0.76117,0.0016436,0.0016436,0.0016436
20,157.382,1.0384,0.47954,0.79998,0.97452,0.92693,0.97433,0.7417,0.97253,0.42556,0.76872,0.0016238,0.0016238,0.0016238
21,164.94,1.03849,0.47623,0.79995,0.98032,0.93093,0.97898,0.81846,0.81074,0.42083,0.75687,0.001604,0.001604,0.001604
22,172.521,0.98837,0.45936,0.79763,0.97374,0.94094,0.97894,0.83861,0.76447,0.39055,0.7545,0.0015842,0.0015842,0.0015842
23,180.11,1.07282,0.46571,0.7982,0.9707,0.92852,0.97766,0.71399,1.09123,0.44379,0.76403,0.0015644,0.0015644,0.0015644
24,187.623,1.02125,0.45504,0.7987,0.97508,0.93988,0.97639,0.85254,0.70747,0.37116,0.75779,0.0015446,0.0015446,0.0015446
25,195.171,0.9589,0.43945,0.79735,0.97501,0.93714,0.97769,0.77899,0.86506,0.41183,0.75294,0.0015248,0.0015248,0.0015248
26,202.729,0.99262,0.44628,0.79448,0.97453,0.94494,0.97972,0.84321,0.7088,0.38012,0.75569,0.001505,0.001505,0.001505
27,210.227,0.87552,0.41221,0.7933,0.97879,0.93894,0.97667,0.79653,0.83572,0.4007,0.75617,0.0014852,0.0014852,0.0014852
28,217.744,0.8596,0.4088,0.7923,0.97355,0.9581,0.98259,0.87597,0.65682,0.36923,0.75234,0.0014654,0.0014654,0.0014654
29,225.312,0.90362,0.41893,0.79376,0.99085,0.93594,0.97933,0.85918,0.71967,0.37331,0.75308,0.0014456,0.0014456,0.0014456
30,232.786,0.87317,0.40552,0.79191,0.98825,0.93594,0.98081,0.86791,0.67058,0.36907,0.75497,0.0014258,0.0014258,0.0014258
31,240.323,0.84125,0.40051,0.78925,0.97952,0.94895,0.98271,0.88498,0.59658,0.34096,0.75283,0.001406,0.001406,0.001406
32,247.806,0.82717,0.39427,0.79354,0.98633,0.93921,0.98023,0.80078,0.88443,0.39354,0.75705,0.0013862,0.0013862,0.0013862
33,255.34,0.84349,0.39935,0.79162,0.98239,0.9491,0.97974,0.85226,0.69837,0.35353,0.75335,0.0013664,0.0013664,0.0013664
34,262.791,0.87199,0.4026,0.7927,0.97846,0.95468,0.98226,0.90898,0.5915,0.34986,0.75061,0.0013466,0.0013466,0.0013466
35,270.311,0.82888,0.38763,0.79053,0.98421,0.94895,0.9773,0.77302,0.90495,0.3888,0.75205,0.0013268,0.0013268,0.0013268
36,277.796,0.84307,0.38652,0.79267,0.9864,0.94409,0.98142,0.8428,0.7261,0.35328,0.75724,0.001307,0.001307,0.001307
37,285.34,0.77249,0.37109,0.79173,0.98754,0.95175,0.98175,0.90606,0.57622,0.34038,0.75072,0.0012872,0.0012872,0.0012872
38,292.837,0.77488,0.37408,0.792,0.98965,0.94995,0.98211,0.91481,0.56397,0.35637,0.74691,0.0012674,0.0012674,0.0012674
39,300.397,0.78398,0.37633,0.79022,0.99267,0.94882,0.97832,0.9087,0.50874,0.33002,0.74927,0.0012476,0.0012476,0.0012476
40,307.882,0.73449,0.35432,0.78945,0.98854,0.94946,0.98299,0.92192,0.50824,0.326,0.75125,0.0012278,0.0012278,0.0012278
41,315.428,0.71643,0.351,0.78901,0.98146,0.95373,0.98174,0.8953,0.62222,0.34891,0.75255,0.001208,0.001208,0.001208
42,322.975,0.74907,0.35935,0.79035,0.98298,0.95195,0.98307,0.92828,0.46074,0.30763,0.74915,0.0011882,0.0011882,0.0011882
43,330.522,0.71227,0.35017,0.78707,0.98603,0.95095,0.98113,0.92054,0.51784,0.32434,0.75142,0.0011684,0.0011684,0.0011684
44,338.027,0.71124,0.35482,0.78787,0.98417,0.95195,0.98227,0.92056,0.51963,0.32494,0.7505,0.0011486,0.0011486,0.0011486
45,345.575,0.71244,0.35207,0.78973,0.99167,0.95366,0.98393,0.88347,0.64098,0.34332,0.75372,0.0011288,0.0011288,0.0011288
46,353.04,0.73195,0.35564,0.78894,0.98453,0.95535,0.98402,0.93145,0.50371,0.31421,0.74795,0.001109,0.001109,0.001109
47,360.602,0.7403,0.35384,0.79038,0.97644,0.95438,0.9817,0.84205,0.7417,0.36009,0.74977,0.0010892,0.0010892,0.0010892
48,368.13,0.73544,0.3509,0.79044,0.98777,0.95195,0.98369,0.93643,0.45588,0.31385,0.74839,0.0010694,0.0010694,0.0010694
49,375.705,0.67862,0.34288,0.78853,0.99074,0.95395,0.98493,0.91137,0.55453,0.32724,0.74988,0.0010496,0.0010496,0.0010496
50,383.274,0.68843,0.34112,0.78809,0.99168,0.95408,0.98304,0.92697,0.49172,0.32554,0.74604,0.0010298,0.0010298,0.0010298
51,390.756,0.682,0.33589,0.78765,0.98718,0.96096,0.98431,0.93513,0.44617,0.30154,0.75148,0.00101,0.00101,0.00101
52,398.298,0.67197,0.33706,0.78695,0.98972,0.95596,0.98259,0.93414,0.43714,0.30141,0.74869,0.0009902,0.0009902,0.0009902
53,405.861,0.65939,0.32843,0.78802,0.98554,0.95509,0.98244,0.93371,0.45829,0.31043,0.7467,0.0009704,0.0009704,0.0009704
54,413.42,0.67421,0.33343,0.78749,0.98642,0.95295,0.98089,0.93131,0.46047,0.29772,0.75022,0.0009506,0.0009506,0.0009506
55,420.962,0.67831,0.33183,0.78747,0.99201,0.95696,0.98461,0.93568,0.45738,0.30257,0.75121,0.0009308,0.0009308,0.0009308
56,428.515,0.68322,0.33027,0.78566,0.99479,0.95544,0.98339,0.92131,0.51526,0.30983,0.75152,0.000911,0.000911,0.000911
57,436.074,0.66121,0.3229,0.7903,0.98766,0.96137,0.98288,0.9228,0.51232,0.30748,0.74897,0.0008912,0.0008912,0.0008912
58,443.621,0.68132,0.32593,0.78878,0.98987,0.95495,0.9826,0.93654,0.45562,0.30273,0.74788,0.0008714,0.0008714,0.0008714
59,451.424,0.68258,0.32684,0.78863,0.99168,0.95495,0.98327,0.93926,0.44076,0.30171,0.74709,0.0008516,0.0008516,0.0008516
60,459.186,0.65864,0.3258,0.7834,0.98854,0.95696,0.98337,0.9405,0.42854,0.29614,0.74946,0.0008318,0.0008318,0.0008318
61,466.775,0.628,0.31615,0.78749,0.99006,0.95295,0.9827,0.94096,0.43707,0.30344,0.74825,0.000812,0.000812,0.000812
