epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.64277,0,0,0,164.858,0,0,0,0,0,0,0,0,0,0,0,0,4.84375,0,6e-05,6e-05,6e-05
2,7.5402,0,0,0,157.04,0,0,0,0,0,0,0,0,0,0,0,0,7.96875,0,0.00013307,0.00013307,0.00013307
3,9.25331,0,0,0,176.118,0,0,0,0,0,0,0,0,0,0,0,0,13.0078,0,0.00019822,0.00019822,0.00019822
4,11.071,0,0,0,96.8266,0,0,0,0,0,0,0,0,0,0,0,0,9.85156,0,0.00025545,0.00025545,0.00025545
5,11.846,0,0,0,2.44575,0,0,0,0,0,0,0,0,0,0,0,0,4.61328,0,0.00030476,0.00030476,0.00030476
6,13.2883,0,0,0,1.29873,0,0,0,0,0,0,0,0,0,0,0,0,0.5918,0,0.00034615,0.00034615,0.00034615
7,13.9505,0,0,0,0.54422,0,0,0,0,0,0,0,0,0,0,0,0,0.19336,0,0.00037962,0.00037962,0.00037962
8,14.6855,0,0,0,0.27782,0,0,0,0,0,0,0,0,0,0,0,0,0.04492,0,0.00040517,0.00040517,0.00040517
9,15.3626,0,0,0,0.17653,0,0,0,0,0,0,0,0,0,0,0,0,0.00391,0,0.0004228,0.0004228,0.0004228
10,16.0077,0,0,0,0.13066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00043251,0.00043251,0.00043251
11,20.2632,0,0,0,0.10151,0,0,0,0,0,0,0,0,0,0,0,0,0.00195,0,0.0004343,0.0004343,0.0004343
12,21.9786,0,0,0,0.08219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042817,0.00042817,0.00042817
13,23.5587,0,0,0,0.07309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00041412,0.00041412,0.00041412
